upc,Department,qty,cents,incltaxes,inclfees,Name,size,ebt,byweight,Fee Multiplier,
012000002304,Soda,1,339,n,n,Pepsi Cola,2.00 LT,,n,2,
012000002335,Soda,1,339,n,n,Mountain Dew,2.00 LT,,n,2,
012000002717,Teas/coffees,1,259,n,n,Frappuccino Coffee Drink Caramel,9.50 OZ,,n,1,
012000002946,Soda,1,299,n,n,Pepsi,1.00 LT,,n,2,
012000002977,Soda,1,269,n,n,Mountain Dew:Soda,1.00 LT,,n,2,
012000003554,Teas/coffees,1,294,n,n,Starbucks Coffee Drink,9.50 FL OZ\,,n,1,
012000004100,Teas/coffees,1,264,n,n,Starbucks Frappuccino Vanilla,9.50 OZ,,n,1,
012000004520,Teas/coffees,1,364,n,n,Starbucks Frappuccino Mocha,13.70 OZ,,n,1,
012000005596,Soda,1,249,n,n,Pepsi Wild Cherry,20.00 OZ,,n,1,
012000006494,Teas/coffees,1,294,n,n,Starbucks Frappuccino Mocha,9.50 OZ,,n,1,
012000008054,Soda,1,135,n,n,Pepsi Can,,,n,1,
012000008801,Teas/coffees,1,399,n,n,Starbucks Doubleshot Light:Espresso & Cream,6.50 FL OZ,,n,1,
012000016431,Soda,1,278,n,n,MDW: Amp Energy,16.00 OZ,,n,1,
012000016721,Teas/coffees,1,364,n,n,Starbucks Frappuccino Caramel Intense Chilled Coffee Drink,13.70 oz,,n,1,
012000027215,Soda,1,164,n,n,Mountain Dew,16.00 OZ,,n,1,
012000028458,Teas/coffees,1,374,n,n,Starbucks Doubleshot:Mocha,15.00 FL OZ,,n,1,
012000028472,Teas/coffees,1,374,n,n,Starbucks Doubleshot:Coffee,15.00 FL OZ,,n,1,
012000028496,Teas/coffees,1,374,n,n,Starbucks Doubleshot:Vanilla,15.00 FL OZ,,n,1,
012000030284,Soda,1,178,n,n,Pepsi Cola,16.00 OZ,,n,1,
012000064494,Water/Juices,1,229,n,n,Dole:Lemondae ,,,n,1,
012000064500,Soda,1,229,n,n,Dole Strawberry,,,n,2,
012000071744,Water/Juices,1,259,n,n,Ocean Spray Orange,15.2 oz,,n,1,
012000071751,Water/Juices,1,259,n,n,Ocean Spray:100% Apple,15.20 FL OZ,,n,1,
012000130274,Soda,1,229,n,n,MTN Dew Baja Blast Soda,20 Oz,,n,2,
012000140709,Soda,1,178,n,n,PEPSI CHERRY,16 Oz,,n,1,
012000161230,Teas/coffees,1,189,n,n,Brisk Iced Tea Strawberry,1 L,,n,2,
012000171475,Soda,1,499,n,n,Bubly grape fruit,,,n,8,
012000171499,Soda,1,499,n,n,Bubly peach,8pk,,n,8,
012000171505,Soda,1,499,n,n,Bubly Mango 8 Pk,,,n,8,
012000171529,Soda,1,499,n,n,Bubly Strawberry 8 Pk,,,n,8,
012000171741,Soda,1,229,n,n,DIET PEPSI 20Z,20OZ,,n,2,
012000181177,Soda,1,499,n,n,Bubly rasberry,,,n,8,
012000181191,Soda,1,499,n,n,Bubly Blackberry,8pk,,n,8,
012000182914,Soda,1,499,n,n,Bubly Watermelon,,,n,8,
012000190063,Water/Juices,1,259,n,n,Dole tropical fruit,,,n,1,
012000286193,Teas/coffees,1,249,n,n,Lipton Pure Leaf:Sweet Tea,18.50 FL OZ,,n,1,
012000286209,Teas/coffees,1,209,n,n,Lipton Pure Leaf:Unsweetened,18.50 FL OZ,,n,1,
012000567490,Soda,1,189,n,n,Lipton Brisk:Fruit Punch,1.00 LT,,n,2,
012000813313,Teas/coffees,1,389,n,n,Starbucks Frappuccino Vanilla,"=""13.7""",,n,1,
012044000236,Health & Wellness,1,649,n,n,"Old Spice Invisible Solid, Original Scent, 3 oz",3 oz,,n,1,
012044000274,Health & Wellness,1,599,n,n,Old Spice High Endurance Pure Sport Scent Men's Deodorant,2.25 Oz,,n,1,
012044342404,Health & Wellness,1,549,n,n,Old Spice High Endurance Deodorant Long Lasting Stick,2.25 Oz,,n,1,
012044343104,Health & Wellness,1,489,n,n,Old Spice Pure Sport,2.25 Oz,,n,1,
012511202323,Food,1,639,n,n,Wholesome:Organic Blue Agave Low Glycemic,11.75 oz,,n,1,
012511211226,Food,1,649,n,n,Wholesome Sweeteners:Organic Raw Blue Agave,11.75 OZ,,n,1,
012511214425,Food,1,639,n,n,Wholesome:Organic Raw Blue Agave Low Glycemic,11.75 oz,,n,1,
012511320041,Food,1,549,n,n,Wholesome Sweetener:Fairtrade Powdered Sugar ,1 lb,,n,1,
012511405007,Food,1,239,n,n,Wholesome Sweeteners:Organic Sugar,1.00 LB,,n,1,
012511444716,Food,1,639,n,n,Wholesome Sweetener:Fairtrade Organic Turbinado Raw,24 oz,,n,1,
012511446413,Food,1,629,n,n,Wholesome Sweetener:Organic Light Brown Sugar,24 oz,,n,1,
012511446529,Food,1,629,n,n,Wholesome Sweetener:Organic Dark Brown Sugar,24 oz,,n,1,
012511467715,Food,1,549,n,n,Wholesome Sweetener:Fair Trade Sugar Raw Cane Sugar,24 oz,,n,1,
012511600006,Food,1,649,n,n,Wholesome:Organic Molasses,16 oz,,n,1,
012511891671,Food,1,999,n,n,Organic Honey,454g,,n,1,
012511921064,Food,1,679,n,n,Wholesome Sweetener:Organic Coconut Palm Sugar,1 lb,,n,1,
012511941208,Food,1,529,n,n,Wholesome Sweetener:Stevia Packets,35 ct,,n,1,
012511946357,Food,1,529,n,n,Wholesome:Stevia Packets ,35ct,,n,1,
012546001533,Candies/Bars/Gum,1,169,n,n,Trident Watermelon + Tropical Fruit Sugar Free Gum,14 ct,y,n,1,
012546011075,Candies/Bars/Gum,1,169,n,n,Trident Spearment,14 ct,,n,1,
012546011099,Candies/Bars/Gum,1,189,n,n,Trident,14 ct,y,n,1,
012546011112,Candies/Bars/Gum,1,168,n,n,Trident Tropical Twist,14 Pcs,y,n,1,
012546011136,Candies/Bars/Gum,1,169,n,n,Trident Watermelon,14 Pcs,y,n,1,
012546011440,Candies/Bars/Gum,1,169,n,n,Trident Bubblegum,14 Pcs,y,n,1,
012546011471,Candies/Bars/Gum,1,169,n,n,Trident,14 ct,y,n,1,
012546312417,Candies/Bars/Gum,1,189,n,n,Dentyne Ice:Arctic Chill - Split 2 Fit Pack,24.00 G,,n,1,
012546312554,Candies/Bars/Gum,1,189,n,n,Dentyne Ice: Peppermint- Split 2 Fit Pack,24.00 G,,n,1,
012546315012,Candies/Bars/Gum,1,189,n,n,Dentyne Ice:Spearmint 16 Pieces,1.00 PK,,n,1,
012546315098,Candies/Bars/Gum,1,189,n,n,Dentyne Fire Spicy Cinnamon,24.00 G,,n,1,
012546600026,Candies/Bars/Gum,1,169,n,n,Trident Layers:Wild Strawberry+Tangy Citrus,35.00 G,y,n,1,
012546676090,Candies/Bars/Gum,1,189,n,n,Trident White Peppermint,24.00 G,y,n,1,
012546676113,Candies/Bars/Gum,1,189,n,n,Trident White Spearmint 16 Pieces,1.00 PK,,n,1,
012546676137,Candies/Bars/Gum,1,169,n,n,Trident White Wintergreen 16 Pieces,1.00 PK,,n,1,
012546676397,Candies/Bars/Gum,1,189,n,n,Trident White Cool Rush 16 Pieces,1.00 PK,,n,1,
012547433654,Health & Wellness,1,229,n,n,Listerine:Cool Mint (Frontend/Sleeve),24.00 CT,,n,1,
012587000106,Household Essentials,1,269,n,n,clad cling wrap,"=""1""",,n,1,
012587000205,Household Essentials,1,439,n,n,Glad Cling Wrap,200 ft,,n,1,
012587000700,Household Essentials,1,529,n,n,Glad,15bags,,n,1,
012587000809,Household Essentials,1,529,n,n,Glad Large 30 Gallon,10 Bags,,n,1,
012587550502,Household Essentials,1,429,n,n,Glad Storage Wide Seal,"=""20""",,n,1,
012587550526,Household Essentials,1,349,n,n,Glad Zipper Storage Bags,25.00 Ct,,n,1,
012587570357,Household Essentials,1,399,n,n,Glad Zipper Freezer Bags Quart Size,12 20 Ct,,n,1,
012587572634,Household Essentials,1,299,n,n,Glad Zipper Sandwich Bags,50.00 Ct,,n,1,
012587700280,Household Essentials,1,899,n,n,Glad Lawn & Leaf Strong Quick Tie Bags,39 Gal,,n,1,
012587700327,Household Essentials,1,839,n,n,"Glad 13 Gallon, 35 bags",35 ct,,n,1,
012587703533,Health & Wellness,1,749,n,n,Glad ForceFlex Bags,20 pcs,,n,1,
012587791387,Household Essentials,1,875,n,n,Glad Forceflex Plus,32/13G,,n,1,
012800498369,Household Essentials,1,499,n,n,RAYOVAC BRITE ESSENTIALS,,,n,1,
012993101015,Soda,1,799,n,n,La Croix  :Sparkling Water-  Peach- Pear,12/12 fl oz,,n,12,
012993101619,Soda,1,134,n,n,La Croix:Grapefruit Pamplemousse,12.00 OZ,,n,1,
012993102012,Soda,1,799,n,n,La Croix:Grapefruit Pamplemousse 12 Oz,12.00 PK,,n,12,
012993102029,Soda,1,799,n,n,La cor coco,12pk,,n,12,
012993111014,Soda,1,799,n,n,La Croix  :Sparkling Water-  Coconut,12/12 fl oz,,n,12,
012993111038,Soda,1,134,n,n,La Croix  :Sparkling Water-  Mango,12/12 fl oz,,n,1,
012993111045,Soda,1,135,n,n,La Croix  :Sparkling Water-  Apricot,12/12 fl oz,,n,12,
012993112028,Soda,1,799,n,n,La Croix: peach pear,,,n,11,
012993112035,Soda,1,799,n,n,La Corix: mango,,,n,12,
012993112042,Soda,1,799,n,n,La Corix Appricot,12pk,,n,12,
012993112059,Soda,1,799,n,n,La crosz,,,n,12,
012993112066,Soda,1,799,n,n,La corix: Tangerine ,,,n,12,
012993112080,Soda,1,799,n,n,Lacroxi: Key Lime ,,,n,12,
012993112097,Soda,1,799,n,n,La corix hibis,,,n,12,
012993112103,Soda,1,799,n,n,La corix wtm,"=""12""",,n,12,
012993112127,Soda,1,799,n,n,La Croix BlackRazzBery,12pk,,n,12,
012993112134,Soda,1,799,n,n,La croix Guava,,,n,12,
012993112141,Soda,1,799,n,n,La CorixPlum,12pk,,n,12,
012993441012,Soda,1,799,n,n,La Croix  :Sparkling Water-  Passionfruit,12/12 fl oz,,n,12,
012993441074,Soda,1,120,n,n,La Croix  :Sparkling Water-  Tangerine,12/12 fl oz,,n,1,
012993441081,Soda,1,799,n,n,La Croix  :Sparkling Water-  Key Lime,12/12 fl oz,,n,12,
012993441098,Soda,1,799,n,n,La Croix  :Sparkling Water-  Hibiscus,12/12 fl oz,,n,12,
012993441104,Soda,1,799,n,n,La Croix  :Sparkling Water-  Watermelon ( Pasteque),12/12 fl oz,,n,12,
013000001243,Food,1,249,n,n,Heinz Tomato Ketchup,14.00 OZ,,n,1,
013000001373,Food,1,339,n,n,Heinz Sweet Relish,12.7 oz.,,n,1,
013000006408,Food,1,369,n,n,Heinz Tomato Ketchup,20.00 OZ,,n,1,
013000008129,Food,1,239,n,n,Heinz: Apple Cider Vinegar,16.00 OZ,,n,1,
013000008525,Food,1,229,n,n,Heinz Distilled White Vinegar,16.00 OZ,,n,1,
013000008549,Food,1,399,n,n,Heinz Distilled White Vinegar,32.00 FL OZ,,n,1,
013001040586,Food,1,299,n,n,Siro:Digestive Cookies,400gr,,n,1,
013120002588,Food,1,599,n,n,Ore-Ida:Golden Fries,32.00 OZ,,n,1,
013120003929,Food,1,499,n,n,Ore-Ida:Southern Style Diced Potatoes,32.00 OZ,,n,1,
013120008283,Frozen Food,1,559,n,n,Ore-Ida:Shoestrings,28.00 OZ,,n,1,
013120012518,Food,1,249,n,n,Ore-Ida:Easy Fries Golden Crinkles Extra Crispy,4.75 OZ,,n,1,
013300280638,Food,1,469,n,n,Hungry Jack Pancke,,,n,1,
013562000043,Food,1,299,n,n,Annie's Homegrown:Shells White Cheddar (Purple),6 oz,,n,1,
013562000456,Food,1,299,n,n,Annie's Homegrown:Original Mac & Cheese (Blue),6 oz,,n,1,
013562002580,Food,1,499,n,n,Annie's Org Ketchup,20oz,,n,1,
013562300501,Food,1,529,n,n,Annie's Homegrown:Family Size: Mac & Cheese,10.5 oz,,n,1,
013562300600,Food,1,299,n,n,Annie's Homegrown:Bunny Pasta & Cheese,6 oz,,n,1,
013562300624,Food,1,479,n,n,Annie's Homegrown:Family Size: Shells White Cheddar,10.5 oz,,n,1,
013562300631,Food,1,399,n,n,Annie's Homegrown:Organic Shells White Cheddar,6 oz,,n,1,
013562300693,Food,1,429,n,n,Annie's Homegrown:Organic Peace Pasta Parmesan,6 oz,,n,1,
013562300846,Food,1,299,n,n,Annie's Homegrown:Shells Aged Wisconsin Chedder (Orange),6 oz,,n,1,
013562302109,Food,1,529,n,n,Annie's Homegrown:Deluxe Shells Aged Wisconsin Chedder,11 oz,,n,1,
013562302123,Food,1,529,n,n,Annie's Homegrown:Deluxe Elbows & 4 Cheese,10 oz,,n,1,
013562302154,Food,1,529,n,n,Annie's Homegrown:Cheddar Bunny Crackers,7.5 oz,,n,1,
013562610068,Food,1,429,n,n,Annie's Homegrown:Rice Pasta Shells White Cheddar GF,6 oz,,n,1,
013628608879,Food,1,549,n,n,Monari:Balsamic Vinegar of Modena (Green Label),16.9 oz,,n,1,
013628608930,Food,1,489,n,n,Monari:Red Wine Vinegar ,16.9 oz,,n,1,
013628609005,Food,1,489,n,n,Monari:White Wine Vinegar ,16.9 oz,,n,1,
013764027053,Food,1,699,n,n,Organic Whole Grain Bread,,y,n,1,
013764027220,Food,1,699,n,n,DKB ORG WHT DONE RGT,24OZ,,n,1,
013800103406,Food,1,449,n,n,Stouffer's Simple Dishes:Macaroni & Cheese,12.00 OZ,,n,1,
013800188038,Food,1,449,n,n,Lean Cuisine Simple Favorites:Chicken,9.25 OZ,,n,1,
013800654557,Food,1,489,n,n,Lean Cuisine Culinary Collection:Sesame With Pasta,9.00 OZ,,n,1,
014054026053,Water/Juices,1,394,n,y,Odwalla:Mango Tango,15.20 FL OZ,y,n,1,
014054030319,Water/Juices,1,394,n,y,Odwalla Vanilla Protien Shake,15.2 oz,y,n,1,
014054030388,Water/Juices,1,394,n,y,Odwalla Protein Shake Strawberry,15.2 oz,y,n,1,
014054030517,Water/Juices,1,394,n,y,"Odwalla blue berry protein shake, 15.2 oz",,,n,1,
014054030715,Water/Juices,1,394,n,y,Odwalla Mango Protein Shake,15.2 oz,,n,1,
014054030814,Water/Juices,1,394,n,y,Odwalla: citrus c monster,15.20z,,n,1,
014054030883,Water/Juices,1,394,n,n,Odwalla Strawberry Banana Smoothie,15.2 oz,,n,1,
014054030975,Water/Juices,1,394,n,y,Odwalla: Mo' Beta,15.2 oz,y,n,1,
014054031026,Water/Juices,1,395,n,y,Odwalla red rhapsody 15.2 oz,,y,n,1,
014054031088,Water/Juices,1,394,n,n,Odwalla orange juice 15.2 oz,,,n,1,
014054031309,Water/Juices,1,849,n,y,Odwalla mango tango,1.4 L,y,n,2,
014054031361,Water/Juices,1,859,n,n,Odwalla original superfood 59 oz,,,n,1,
014054031514,Water/Juices,1,849,n,y,Odwalla orange juice,1.4 L,y,n,2,
014054061054,Water/Juices,1,394,n,n,"Odwalla:Vitamin C Fruit Juice Drink, Strawberry",15.20 OZ,,n,1,
014054064055,Water/Juices,1,394,n,y,Odwalla: original Superfood,15.20 OZ,y,n,1,
014054093055,Water/Juices,1,395,n,y,"Odwalla:Fruit Smoothie Blend, Blueberry B Monster",15.20 OZ,,n,1,
014054135052,Water/Juices,1,394,n,y,Odiwala protien,15.2 oz,y,n,1,
014100049623,Food,1,499,n,n,Gold fish cheddar,8 oz,,n,1,
014100049630,Food,1,599,n,n,Gold fish Blast,8oz,,n,1,
014100074106,Food,1,449,n,n,Pepperidge Farm:Bordeaux Distinctive Cookies,6.75 OZ,,n,1,
014100074120,Food,1,449,n,n,Pepperidge Farm:Milano,6.00 OZ,,n,1,
014100074359,Food,1,449,n,n,Pepperidge Farms Milano Orange Chocolate,7 oz,,n,1,
014100074441,Food,1,449,n,n,Pepperidge Farm:Sweet & Simple Cookies,5.50 OZ,,n,1,
014100074625,Food,1,449,n,n,"Pepperidge Farm:Verona Distinctive Cookies, Apricot Raspberry",6.75 OZ,,n,1,
014100074649,Food,1,449,n,n,Pepperidge Farm Verona:Strawberry,6.75 OZ,,n,1,
014100074724,Food,1,469,n,n,Pepperidge Farm Milano:Double Chocolate,7.50 OZ,,n,1,
014100074816,Food,1,449,n,n,Pepperidge Farm Milano:Raspberry Chocolate,7.00 OZ,,n,1,
014100075226,Food,1,449,n,n,White Chocolate Macadamia,7.20 OZ,,n,1,
014100077084,Food,1,449,n,n,Pepperidge Farm:Chocolate Chunk Chesapeake Dark Chocolate Pecan,7.20 OZ,,n,1,
014100077121,Food,1,449,n,n,Pepperidge Farm Sausalito:Milk Chocolate Macadamia,7.20 OZ,,n,1,
014100078609,Food,1,449,n,n,Pepperidge Farm:Double Chocolate  Chunk Double Chocolate Nantucket,7.75 OZ,,n,1,
014100078845,Food,1,449,n,n,Pepperidge Farm Santa Cruz:Soft Baked - Oatmeal Raisin,8.60 OZ,,n,1,
014100079460,Food,1,469,n,n,Pepperidge Farm:Brussels Distinctive Cookies,5.25 OZ,,n,1,
014100079477,Food,1,449,n,n,Pepperidge Farm Milano:Mint,7.00 OZ,,n,1,
014100079521,Food,1,469,n,n,Pepperidge Farm Chessmen:Sweet & Simple Cookies,7.25 OZ,,n,1,
014100085393,Food,1,459,n,n,Pepperidge Farm Goldfish Colors:Cheddar,6.60 OZ,,n,1,
014100085461,Food,1,459,n,n,Pepperidge Farm Goldfish:Parmesan,6.60 OZ,,n,1,
014100085478,Food,1,459,n,n,Pepperidge Farm Goldfish:Cheddar,6.60 OZ,,n,1,
014100085485,Food,1,459,n,n,Pepperidge Farm Goldfish Flavor Blasted :Xtra Cheddar,6.60 OZ,,n,1,
014100085508,Food,1,459,n,n,"Goldfish:Baked Snack Crackers, Original",6.60 OZ,,n,1,
014100085607,Food,1,469,n,n,Pepperidge Farm Goldfish:Pizza,6.60 OZ,,n,1,
014100085782,Food,1,459,n,n,Pepperidge Farm Goldfish:Cheddar - made with Whole Grain,6.60 OZ,,n,1,
014100089001,Food,1,479,n,n,"Pepperidge Farm:Cookies, Chocolate Chunk, Milk Chocolate",8.60 OZ,,n,1,
014100098416,Food,1,449,n,n,Pepperidge Farm Lexington Milk Chocolate Toffee Almond,7.2 oz,,n,1,
014100099970,Food,1,479,n,n,Pepperidge Farm Milano MIlk Chocolate,6 oz,,n,1,
014113910132,Nuts/Seeds,1,499,n,n,Wonderful:Roasted & Salted Shelled,2.50 OZ,,n,1,
014113910293,Nuts/Seeds,1,469,n,n,Wonderful Salt & Pepper Pistachios,4.5 oz,,n,1,
014113910309,Nuts/Seeds,1,469,n,n,Wonderful Sweet Chili Pistachios,4.5 oz,,n,1,
014200000630,Candies/Bars/Gum,1,25,n,n,Charms What A Melon,"=""1""",,n,1,
014200000647,Candies/Bars/Gum,1,25,n,n,Kiwi Berry Blast Pops,"=""1""",,n,1,
014200000821,Candies/Bars/Gum,1,25,n,n,Cotton Candy Popd,.62 oz,n,n,1,
014200000876,Candies/Bars/Gum,1,25,n,n,Blue Razz Berry Pops,"=""1""",,n,1,
014668340019,Fresh Produce,1,999,n,n,Cuties 5 lb,ea,y,n,1,
014800001792,Food,1,349,n,n,Mott`s Applesauce - Original,24 Oz,,n,1,
014800511758,Water/Juices,1,224,n,n,Clamato Tomato Cocktail,16.00 OZ,,n,1,
014800512748,Water/Juices,1,210,n,n,Clamato:Picante,16.00 OZ,,n,1,
