,upc,department,product_name,crv_by_05_cents,sell_price,size,upce,has_crv,sugar_column,is_taxable,Images,sugar_tax,img,contains_promotion
2308,31146007622,Food,Nongshim Chicken Flavor,1.0,1.89,3.03 Oz,,False,False,False,,0,,False
2316,31146250103,Food,Nong Shim:Hot & Spicy,1.0,1.89,3.03 OZ,,False,False,False,,0,,False
2317,31146250301,Food,Nong Shim Spicy Kimchi,1.0,1.89,3.03 OZ,,False,False,False,,0,,False
2319,31146262571,Food,Nong Shim:Spicy Chicken,1.0,1.89,3.03 OZ,,False,False,False,,0,,False
2320,31146262748,Food,Nong Shim Spicy Shrimp,1.0,1.89,3.03 OZ,,False,False,False,,0,,False
2321,31146263257,Food,Nongshim Spicy Lobster,1.0,1.89,3.03 OZ,,False,False,False,,0,,False
2499,39501100018,Food,Arandas Corn Tortilla,1.0,1.59,12oz,,False,False,False,,0,,False
2598,39978009401,Food,Bob's Red Mill:Organic Flaxseed Meal Golden,1.0,6.25,16 oz,,False,False,False,,0,,False
2656,39978032324,Food,Bob's Red Mill:Golden Flaxseed Meal ,1.0,4.99,16 oz,,False,False,False,,0,,False
2670,39978041401,Food,Bob's Red Mill:Oats Steel Cut ,1.0,4.69,24 oz,,False,False,False,,0,,False
2733,40822011143,Food,Sabra:Classic Hummus,1.0,5.29,10.00 OZ,,False,False,False,,0,,False
2734,40822011242,Food,Sabra:Roasted Garlic Hummus,1.0,5.29,10.00 OZ,,False,False,False,,0,,False
2735,40822011549,Food,Sabra:Roasted Red Pepper Hummus,1.0,5.29,10.00 OZ,,False,False,False,,0,,False
2736,40822011747,Food,"Sabra:Hummus, with Roasted Pine Nuts",1.0,5.29,10.00 OZ,,False,False,False,,0,,False
2792,41364080512,Candies/Bars/Gum,"American Licorice:Straws, Blue Raspberry",1.0,1.59,2.00 OZ,,False,False,False,,0,,False
2793,41364080529,Candies/Bars/Gum,Sour Punch Straws:Zappin' Apple,1.0,1.59,2.00 OZ,,False,False,False,,0,,False
2794,41364080536,Candies/Bars/Gum,Sour Punch Straws:Strikin' Strawberry,1.0,1.59,2.00 OZ,,False,False,False,,0,https://pics.drugstore.com/prodimg/14165/450.jpg,False
2795,41364080758,Candies/Bars/Gum,Red Vines Original Red,1.0,1.39,"=""1""",,False,False,False,,0,,False
2800,41390001055,Food,Kikkoman:Less Sodium,1.0,4.39,10.00 FL OZ,,False,False,False,,0,,False
2835,41570109083,Food,Blue Diamond: Nut Thins- Flaxseed,1.0,4.19,4.25 oz,,False,False,False,,0,,False
2836,41570109090,Food,Blue Diamond:Artisian Nut Thins- Sesame Seed,1.0,4.19,4.25 oz,,False,False,False,,0,,False
3063,48400004297,Food,Crystal:Louisiana's Pure Extra Hot,1.0,1.89,6.00 OZ,,False,False,False,,0,,False
3150,52100034911,Food,McCormick Original Taco Seasoning Mix,1.0,1.39,1 oz,,False,False,False,,0,,False
3151,52100034935,Food,Mild Taco mix,1.0,1.39,"=""1""",,False,False,False,,0,,False
3172,54881000024,Teas/coffees,Ahmad Tea:Peppermint & Lemon,1.0,3.82,20ct-1.4oz,,True,False,False,,0,,False
3173,54881000048,Teas/coffees,Ahmad Tea:Fruit & Herbs Mixed Citrus,1.0,3.82,20ct-1.4oz,,True,False,False,,0,,False
3205,62356341169,Food,Mid East:Six Bean Salad,1.0,1.91,20 oz,,False,False,False,,0,,False
3261,70569210400,Food,Bahlsen:Waffeletten Dark Chocolate,1.0,4.69,100g,,False,False,False,,0,,False
3263,70569291409,Food,Bahlsen:Leibniz Dark Chocolate,1.0,4.69,125g,,False,False,False,,0,,False
3264,70569336209,Food,Bahlsen:Afrika Dark Chocolate,1.0,5.49,125g,,False,False,False,,0,,False
3276,70617206126,Food,Shredded:Shredded Oats Original,1.0,6.59,14.00 OZ,,False,False,False,,0,,False
3313,70852375007,Dairy,Clover Half & Half,1.0,1.89,Pint,,False,False,False,,0,,False
3380,71720009314,Candies/Bars/Gum,Tootsie Roll:Candy,1.0,1.59,2.25 OZ,,False,False,False,,0,,False
3382,71720049723,Candies/Bars/Gum,Tootsie Dots,1.0,1.59,2.25 OZ,,False,False,False,,0,,False
3431,72486002205,Food,Jiffy Corn Muffin Mix,1.0,1.89,8.5 oz,,False,False,False,,0,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png,False
3449,72830005517,Dairy,Tillamook:Medium Cheddar,1.0,5.49,8.00 OZ,,False,False,False,,0,,False
3450,72830005524,Cheese,Tillamook:Sharp Cheddar,1.0,5.49,8.00 OZ,,False,False,False,,0,,False
3451,72830005531,Dairy,Tillamook:Monterey Jack,1.0,5.49,8.00 OZ,,False,False,False,,0,,False
3452,72830005548,Dairy,Tillamook:Pepper Jack,1.0,5.49,8.00 OZ,,False,False,False,,0,,False
3461,72999803535,Food,Olives To Go,1.0,1.39,,,False,False,False,,0,,False
3462,72999805539,Food,Pimiento olive to go,1.0,1.39,,,False,False,False,,0,,False
3493,73390000110,Candies/Bars/Gum,"Mentos:The Chewy Mint, Mint",1.0,1.39,1.32 OZ,,False,False,False,,0,,False
3494,73390000165,Candies/Bars/Gum,Mentos:Fruit,1.0,1.39,1.32 OZ,,False,False,False,,0,,False
3495,73390001834,Candies/Bars/Gum,"Mentos:Chewy Mint, Green Apple",1.0,1.39,1.32 OZ,,False,False,False,,0,,False
3616,75810021255,Food,San-J Tamari Brw Soya,1.0,4.39,10.00 OZ,,False,False,False,,0,,False
3618,75810041253,Food,San-J:Organic Shoyu,1.0,4.69,10.00 OZ,,False,False,False,,0,,False
3622,76150232158,Nuts/Seeds,Act 2 Theater Popcorn,1.0,1.39,2.27 oz,,False,False,False,,0,,False
3623,76150232233,Nuts/Seeds,Act II Butter Popcorn,1.0,1.39,2.75 Oz,,False,False,False,,0,,False
3625,76183003107,Teas/coffees,Snapple Kiwi Strawberry,1.0,2.29,16 0z,,True,False,False,,0,,False
3626,76183003114,Teas/coffees,Snapple Peach Tea,1.0,2.29,16 oz,,True,False,False,,0,,False
3627,76183003121,Teas/coffees,Snapple Mango Madness,1.0,2.29,16.00 FL OZ,,True,False,False,,0,,False
3629,76183003152,Teas/coffees,Snapple Lemon,1.0,2.29,,,True,False,False,,0,,False
3632,76183003299,Teas/coffees,Snapple Pink Lemonade,1.0,2.29,16oz,,True,False,False,,0,,False
3633,76183003305,Teas/coffees,Snapple Mango Tea,1.0,2.29,16 oz,,True,False,False,,0,,False
3634,76183007006,Teas/coffees,Snapple,1.0,2.29,,,True,False,False,,0,,False
3635,76183323564,Teas/coffees,Snapple Peach Tea,2.0,3.29,32.00 OZ,,True,False,False,,0,,False
3636,76183323632,Teas/coffees,Snapple Kiwi Strawberry,2.0,3.29,32.00 OZ,,True,False,False,,0,,False
3637,76183323649,Teas/coffees,Snapple Mango Madness,2.0,3.29,32.00 OZ,,True,False,False,,0,,False
3638,76183323724,Teas/coffees,Snapple Fruit Punch,2.0,3.29,32.00 OZ,,True,False,False,,0,,False
3639,76183328507,Teas/coffees,Snapple Apple,2.0,3.29,32 oz,,True,False,False,,0,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png,False
3644,76397001074,Food,La Costena:Green Pickled,1.0,1.39,7.00 OZ,,False,False,False,,0,,False
3661,76580148036,Food,Loacker:Gran Pasticceria: Dark Hazelnut,1.0,3.82,100gr,,False,False,False,,0,,False
3966,88702882414,Food,Bonne Maman:Intense: Blueberry  ,1.0,5.59,8.2oz,,False,False,False,,0,,False
4053,96619032938,Food,Kirkland Organic Raw Honey,1.0,8.49,680 g,,False,False,False,,0,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png,False
4061,96619140428,Frozen Food,Strawberries,1.0,16.99,,,False,False,False,,0,,False
4062,96619140466,Food,Org. Blueberry,1.0,13.99,,,False,False,False,,0,,False
4064,96619174010,Food,KS 3 Berry,1.0,19.99,,,False,False,False,,0,,False
4105,99900711154,Candies/Bars/Gum,Raisinets,1.0,1.59,1.5oz,,False,False,False,,0,,False
4107,99900908363,Food,crunch,1.0,1.59,,,False,False,False,,0,,False
5355,22652191448,Water/Juices,Parrot Coconut Water,2.0,1.89,16.4 oz,,True,False,False,,0,https://i5.walmartimages.com/asr/68e5e11b-02da-483a-8e8c-01de219544ad_1.35138a6fbeacb236c4f1241d099c01fb.jpeg?odnHeight=450&odnWidth=450&odnBg=ffffff,False
5356,22652192018,Water/Juices,Parrot Guava Juice,2.0,1.89,16.4 oz,,True,True,False,,0,,False
5419,41755009610,Water/Juices,Langer: Orange,2.0,8.99,3.78 L,,True,True,False,,0,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png,False
5506,71142000500,Water/Juices,Arrowhead:Deposit,1.0,0.94,0.50 LT,,True,True,False,,0,,False
5526,75140005000,Water/Juices,Crystal Geyser:Natural w/ Flat Cap,2.0,1.89,1.50 LT,,True,False,False,,0,,False
5527,75140005024,Water/Juices,Crystal Geyser:Natural,1.0,0.95,16.90 OZ,,True,False,False,,0,,False
5528,75140005055,Water/Juices,Crystal Geyser:Natural w/ Sport Cap,2.0,1.59,1.00 LT,,True,False,False,,0,,False
5535,76183003138,Water/Juices,Snapple Fruit Punch,1.0,2.29,16oz,,True,True,False,,0,,False
5536,76183323786,Sports Drinks,Snapple Raspberry Tea,2.0,3.29,32.00 OZ,,True,True,False,,0,,False
5543,82592011343,Water/Juices,Naked Proten Peach Mango,1.0,4.59,,,True,True,False,,0,https://westsiderc.org/wp-content/uploads/2019/08/Image-Not-Available.png,False
5545,82592194640,Water/Juices,Naked Juice:Strawberry Banana,2.0,8.89,64.00 OZ,,True,True,False,,0,,False
5547,82592631954,Water/Juices,Naked Juice:Protein Zone Double Berry,1.0,4.59,15.20 OZ,,True,True,False,,0,,False
5557,82592722157,Water/Juices,Naked Juice:Protein Zone,1.0,4.49,15.20 FL OZ,,True,True,False,,0,,False
5574,96619756803,Water/Juices,Kirk Purified Water,1.0,0.95,16.9 oz,,True,False,False,,0,,False
